"ผิวดีคลีนิค สาขาเซ็นทรัลลาดพร้าว"
"code","name","unit","price","IN Com","In Stock"," +-"
"DG077","Trio lucent","หลอด","510","61"," "," "
"DG078","Trio-White","หลอด","480","9"," "," "
"DG079","TW","ขวด","210","62"," "," "
"DG080","ultra white","กล่อง","410","29"," "," "
"DG081","UW3 / Ultrawhite3","ขวด","370","22"," "," "
"DRG192","UW4/UltraWhite4","หลอด","390","29"," "," "
"DG082","WB","หลอด","130","2"," "," "
"ZG001","คลังยากลาง Acnotin (30เม็ด/กล่อง)","กล่อง","0","0"," "," "
"ZG080","คลังยากลาง Amoxycillin  (100 เม็ด/กล่อง)","กล่อง","0","5"," "," "
"ZG002","คลังยากลาง Amoxycillin (500เม็ด/ขวด)","กระปุก","0","0"," "," "
"ZG003","คลังยากลาง atarax (กล่อง)","กระปุก","0","0"," "," "
"ZG073","คลังยากลาง BBX (450 เม็ด/กล่อง)","เม็ด","0","0"," "," "
"ZG004","คลังยากลาง Dicloxacillin 500mg(100เม็ด/กล่อง","กล่อง","0","11"," "," "
"ZG005","คลังยากลาง Doxycillin (100เม็ด/กล่อง)","กล่อง","0","25"," "," "
"ZG078","คลังยากลาง Eaythromycin ( 500 เม็ด /กระปุก)","กระปุก","0","0"," "," "
"ZG074","คลังยากลาง Ibuprofen","กล่อง","0","210"," "," "
"ZG006","คลังยากลาง JA cap (500เม็ด/ขวด)","กระปุก","0","53"," "," "
"ZG079","คลังยากลาง Keto top (500 mg/ กระปุก)","กระปุก","0","1"," "," "
"ZG007","คลังยากลาง keto ยาเม็ด (100เม็ด/กล่อง)","กล่อง","0","16"," "," "
"ZG008","คลังยากลาง Lorsedin (ขวด)","กล่อง","0","15"," "," "
"ZG077","คลังยากลาง Mino ( 100 เม็ด/ กระปุก)","กระปุก","0","1"," "," "
"ZG009","คลังยากลาง minocyclin (100เม็ด/ขวด)","กระปุก","0","0"," "," "
"ZG010","คลังยากลาง PD wash","ขวด","0","0"," "," "
"ZG011","คลังยากลาง Prednisolone (1000เม็ด/ขวด)","กระปุก","0","0"," "," "
"ZG012","คลังยากลาง Roac -10mg (30เม็ด/กล่อง)","กล่อง","0","0"," "," "
"ZG013","คลังยากลาง Roac- 20mg (30เม็ด/กล่อง)","กล่อง","0","0"," "," "
"ZG014","คลังยากลาง Scagel (10หลอด/กล่อง)","หลอด","0","0"," "," "
"ZG015","คลังยากลาง Spazol (100เม็ด/กล่อง)","กล่อง","0","0"," "," "
"ZG016","คลังยากลาง SVD/Servodox (1000เม็ด/ขวด)","กระปุก","0","14"," "," "
"ZG017","คลังยากลาง Terramycin","หลอด","0","0"," "," "
"ZG018","คลังยากลาง TX TransMig (500เม็ด/ขวด)","กระปุก","0","0"," "," "
"ZG075","คลังยากลาง Vilerm 200mg ( 25 เม็ด /กล่อง)","กล่อง","0","0"," "," "
"ZG076","คลังยากลาง Vilerm 400mg (70 เม็ด/ กล่อง)","กล่อง","0","6"," "," "
"ZG021","คลังยากลาง VIT C","ขวด","0","15"," "," "
"ZG020","คลังยากลาง VIT E","ขวด","0","11"," "," "
"ZG019","คลังยากลาง zytec (100เม็ด/กล่อง)","กล่อง","0","6"," "," "
"XG015","BD Ultra-Fine.2 (เข็มฉีดสิว 31 )","ขวด","0","0"," "," "
"XG041","CryoStem Therapy-F","ขวด","0","0"," "," "
"XG040","CryoStem Therapy-H","ขวด","0","0"," "," "
"XG038","Insulin syringes 0.5cc","ขวด","0","0"," "," "
"XG001","ka  20mg.","mg","0","0"," "," "
"DG135","Lipsome","หลอด","0","0"," "," "
"XG033","mask ทองคำ","ขวด","509","0"," "," "
"XG034","maskเชอร์รี่","ซอง","259","79"," "," "
"DG134","Mesowhite","หลอด","0","3"," "," "
"XG017","Syringe 1 ml.","ขวด","0","0"," "," "
"XG018","Syringe 3 ml.","ขวด","0","0"," "," "
"XG019","Syringe 5 ml.","ขวด","0","0"," "," "
"XG037","Tuberculin ss 1 ml ","ขวด","0","0"," "," "
"XG002","Xylocaine 1%","ขวด","0","17"," "," "
"XG003","Xylocaine 1% With adrenaline","ขวด","0","10"," "," "
"XG004","Xylocaine 2%","ขวด","0","9"," "," "
"XG005","Xylocaine 2% With adrenaline","ขวด","0","2"," "," "
"XG029","ก๊อซ","ขวด","0","0"," "," "
"XG049","ตลับ 10 กรัม ชมพู","ตลับ","0","0"," "," "
"XG050","ตลับ 20 กรัม ","ตลับ","0","40"," "," "
"XG047","ตลับ 5 กรัม ","ตลับ","0","0"," "," "
"XG048","ตลับ 5 กรัม สวย","ตลับ","0","0"," "," "
"XG051","ตลับ 50 กรัม ","ตลับ","0","10"," "," "
"XG036","ถุงผิวดี","ขวด","0","0"," "," "
"XG035","ถุงมือกล่อง","ขวด","0","3"," "," "
"XG028","ทิชชูเช็ดหน้า","ขวด","0","0"," "," "
"XG032","น้ำเกลือ","ขวด","0","0"," "," "
"XG016","น้ำเกลือขวดเล็กใช้ฉีด Botox (น้ำเกลือ Botox)","ขวด","0","0"," "," "
"XG031","ผ้าปิดปาก","ขวด","0","0"," "," "
"XG024","ยาชาครีม","ขวด","0","11"," "," "
"XG027","สำลีก้อน","ขวด","0","0"," "," "
"XG026","สำลีก้าน","ขวด","0","5"," "," "
"XG025","สำลีแผ่น","ขวด","0","5"," "," "
"XG030","หมวก","ขวด","0","3"," "," "
"XG006","เข็ม เบอร์ 18G X 1"","ขวด","0","0"," "," "
"XG007","เข็ม เบอร์ 20G X 1"","ขวด","0","0"," "," "
"XG008","เข็ม เบอร์ 23G X 1"","ขวด","0","0"," "," "
"XG009","เข็ม เบอร์ 25G X 1"","ขวด","0","0"," "," "
"XG013","เข็ม เบอร์ 26G X 1/2" (เข็มฉีดBotox)","ขวด","0","0"," "," "
"XG010","เข็ม เบอร์ 27G X 1"","ขวด","0","0"," "," "
"XG014","เข็ม เบอร์ 29G X 1/2" (เข็มฉีดสิว)","ขวด","0","0"," "," "
"XG011","เข็ม เบอร์ 30G X 1"","ขวด","0","0"," "," "
"XG012","เข็ม เบอร์ 30G X 1/2"","ขวด","0","0"," "," "
"XG022","แผ่นแปะกันน้ำ","ขวด","0","0"," "," "
"XG023","แอลกอฮอส์สีฟ้า","ขวด","0","0"," "," "
"XG039","ไซริงจ์ 5cc","ขวด","0","0"," "," "
"XG020","ไมโครปอ สีขาว","ขวด","0","0"," "," "
"XG021","ไมโครปอ สีน้ำตาล","ขวด","0","0"," "," "
